Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0729d57115fa69fccf8b24b0a2a3f2ee56a15f4170470ec26301afda61468920,2023-03,Dorset Police,Dorset Police,-2.579466,50.947054,On or near ,E01020541,West Dorset 002C,Investigation complete; no suspect identified
397b9169daa14f492be65ad3a9a0f19dacea1383ea10ac962459a89b14b4d568,2023-03,Dorset Police,Dorset Police,-1.863670,50.726084,On or near ,E01015287,Bournemouth 017D,Investigation complete; no suspect identified
db955e39765c73af6885165f538688a10923bd548ac1c9f63b00c667b6d83ea3,2023-03,Dorset Police,Dorset Police,-2.020151,50.726431,On or near Rice Gardens,E01015429,Poole 014C,Investigation complete; no suspect identified
48f04b1fbc43be410fb14cf540fe6fb391acd80418f15d786359038fd14a590c,2023-03,Dorset Police,Dorset Police,-1.953627,50.603259,On or near Belle Vue Road,E01020481,Purbeck 006D,Investigation complete; no suspect identified
75e4ccc5de9eeb12ef4a03d5a1b26a0a664f2fc71f1b41ea2855861a6b0d7fb6,2023-03,Dorset Police,Dorset Police,-1.846995,50.748889,On or near ,E01015339,Bournemouth 008B,Investigation complete; no suspect identified
5974f06b992ad7a9ec316eeb82c3c2541fae084b0795283857867c727e3f15ff,2023-03,Dorset Police,Dorset Police,-2.342563,50.747736,On or near The Green,E01020540,West Dorset 004E,Investigation complete; no suspect identified
d02d68ccb2a408adf76195f412b85501a00a064aee2e16de67f9f6d74389ee2d,2023-03,Dorset Police,Dorset Police,-2.469055,50.712494,On or near Beechwood Lane,E01032641,West Dorset 009F,Investigation complete; no suspect identified
1775a4de43a54f7ceb2ea9eb0a60abf6221bae8cf6e2dfbcf3de189aaa668a87,2023-03,Dorset Police,Dorset Police,-1.863098,50.723142,On or near ,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
5e48952a0902fa02bc9fc562a01998ecaac99fffd080b05424ac9ba09d326b21,2023-03,Dorset Police,Dorset Police,-1.919180,50.725479,On or near St Aldhelm's Road,E01015402,Poole 018A,Investigation complete; no suspect identified
15e8e5379bcaf29a8a17ed18a427a321f06b81ed92276ffd23fe5b653aab6d49,2023-03,Dorset Police,Dorset Police,-1.920473,50.739868,On or near Cashmoor Close,E01015384,Poole 007E,Investigation complete; no suspect identified
86d346ab116fadd31a5d89e6fe4e5c8b525cd6c581934fc1a0946976bfa1756d,2023-03,Dorset Police,Dorset Police,-1.975633,50.732114,On or near Waverley Crescent,E01015451,Poole 012E,Investigation complete; no suspect identified
3176b4a535cee268df2758ede2d5221beee0812882bb01af4a35a3dd8ec90761,2023-03,Dorset Police,Dorset Police,-1.982241,50.719075,On or near Serpentinf Lane,E01032659,Poole 015F,Investigation complete; no suspect identified
